1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
4.5 to 5.5	150	297	266	275	199	308	262	202	200	251	299	267	167	377	128	279	192	184	289	277	312	150	297	266	275	199	308	262	202	200	251	299	267	167	377	128	279	192	184	289	277	312	150	297	266	275	199	308	262	202	200	251	299	267	167	377	128	279	192	184	289	277	312	150	297	266	275	199	308	262	202	200	251	299	267	167	377	128	279	192	184	289	277	312	150	297	266	275	199	308	262	202	200	251	299	267	167	377	128	279
4.6 to 5.6	154	217	183	152	214	227	230	183	179	168	225	256	166	288	141	253	194	177	204	211	343	154	217	183	152	214	227	230	183	179	168	225	256	166	288	141	253	194	177	204	211	343	154	217	183	152	214	227	230	183	179	168	225	256	166	288	141	253	194	177	204	211	343	154	217	183	152	214	227	230	183	179	168	225	256	166	288	141	253	194	177	204	211	343	154	217	183	152	214	227	230	183	179	168	225	256	166	288	141	253
4.7 to 5.7	154	263	209	190	251	248	230	194	229	209	232	290	166	331	191	303	194	177	204	211	377	154	263	209	190	251	248	230	194	229	209	232	290	166	331	191	303	194	177	204	211	377	154	263	209	190	251	248	230	194	229	209	232	290	166	331	191	303	194	177	204	211	377	154	263	209	190	251	248	230	194	229	209	232	290	166	331	191	303	194	177	204	211	377	154	263	209	190	251	248	230	194	229	209	232	290	166	331	191	303
4.8 to 5.8	104	213	203	108	218	202	163	185	182	167	221	208	103	245	187	259	141	119	146	161	289	104	213	203	108	218	202	163	185	182	167	221	208	103	245	187	259	141	119	146	161	289	104	213	203	108	218	202	163	185	182	167	221	208	103	245	187	259	141	119	146	161	289	104	213	203	108	218	202	163	185	182	167	221	208	103	245	187	259	141	119	146	161	289	104	213	203	108	218	202	163	185	182	167	221	208	103	245	187	259
4.9 to 5.9	124	215	255	136	274	213	165	206	198	206	222	245	153	280	212	309	177	157	180	211	289	124	215	255	136	274	213	165	206	198	206	222	245	153	280	212	309	177	157	180	211	289	124	215	255	136	274	213	165	206	198	206	222	245	153	280	212	309	177	157	180	211	289	124	215	255	136	274	213	165	206	198	206	222	245	153	280	212	309	177	157	180	211	289	124	215	255	136	274	213	165	206	198	206	222	245	153	280	212	309
5 to 6	170	266	306	152	310	250	209	298	246	256	282	340	176	322	242	357	221	209	227	261	362	170	266	306	152	310	250	209	298	246	256	282	340	176	322	242	357	221	209	227	261	362	170	266	306	152	310	250	209	298	246	256	282	340	176	322	242	357	221	209	227	261	362	170	266	306	152	310	250	209	298	246	256	282	340	176	322	242	357	221	209	227	261	362	170	266	306	152	310	250	209	298	246	256	282	340	176	322	242	357
5.1 to 6.1	204	296	389	223	368	313	263	317	251	278	355	366	266	340	263	342	237	215	278	305	421	204	296	389	223	368	313	263	317	251	278	355	366	266	340	263	342	237	215	278	305	421	204	296	389	223	368	313	263	317	251	278	355	366	266	340	263	342	237	215	278	305	421	204	296	389	223	368	313	263	317	251	278	355	366	266	340	263	342	237	215	278	305	421	204	296	389	223	368	313	263	317	251	278	355	366	266	340	263	342
5.2 to 6.2	204	296	389	223	368	313	263	317	251	278	355	366	266	340	263	342	237	215	278	305	421	204	296	389	223	368	313	263	317	251	278	355	366	266	340	263	342	237	215	278	305	421	204	296	389	223	368	313	263	317	251	278	355	366	266	340	263	342	237	215	278	305	421	204	296	389	223	368	313	263	317	251	278	355	366	266	340	263	342	237	215	278	305	421	204	296	389	223	368	313	263	317	251	278	355	366	266	340	263	342
5.3 to 6.3	172	258	359	223	359	290	251	288	228	255	305	352	222	292	263	292	206	202	261	289	371	172	258	359	223	359	290	251	288	228	255	305	352	222	292	263	292	206	202	261	289	371	172	258	359	223	359	290	251	288	228	255	305	352	222	292	263	292	206	202	261	289	371	172	258	359	223	359	290	251	288	228	255	305	352	222	292	263	292	206	202	261	289	371	172	258	359	223	359	290	251	288	228	255	305	352	222	292	263	292
5.4 to 6.4	155	217	276	201	319	190	244	215	228	227	213	252	187	226	218	212	156	173	189	226	293	155	217	276	201	319	190	244	215	228	227	213	252	187	226	218	212	156	173	189	226	293	155	217	276	201	319	190	244	215	228	227	213	252	187	226	218	212	156	173	189	226	293	155	217	276	201	319	190	244	215	228	227	213	252	187	226	218	212	156	173	189	226	293	155	217	276	201	319	190	244	215	228	227	213	252	187	226	218	212
5.5 to 6.5	155	217	276	201	319	190	244	215	228	227	213	252	187	226	218	212	156	173	189	226	293	155	217	276	201	319	190	244	215	228	227	213	252	187	226	218	212	156	173	189	226	293	155	217	276	201	319	190	244	215	228	227	213	252	187	226	218	212	156	173	189	226	293	155	217	276	201	319	190	244	215	228	227	213	252	187	226	218	212	156	173	189	226	293	155	217	276	201	319	190	244	215	228	227	213	252	187	226	218	212
