timing	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B80	B81	B82	B83	B84	B85	B86	B87	B88	B89	B90	B91	B92	B93	B94	B95	B96	B97	B98	B99	B100	lowerCI	upperCI	meanCI
1.5 to 2.5	0.394444444	0.283333333	0.343333333	0.237777778	0.557777778	0.233333333	0.494444444	0.426666667	0.308888889	0.436666667	0.316666667	0.313333333	0.408888889	0.194444444	0.341111111	0.468888889	0.317777778	0.323333333	0.331111111	0.333333333	0.47	0.482222222	0.355555556	0.386666667	0.472222222	0.38	0.271111111	0.468888889	0.436666667	0.316666667	0.313333333	0.408888889	0.194444444	0.341111111	0.468888889	0.317777778	0.323333333	0.331111111	0.333333333	0.47	0.482222222	0.355555556	0.386666667	0.472222222	0.38	0.271111111	0.468888889	0.436666667	0.316666667	0.313333333	0.408888889	0.194444444	0.341111111	0.468888889	0.317777778	0.323333333	0.331111111	0.333333333	0.47	0.482222222	0.355555556	0.386666667	0.472222222	0.38	0.271111111	0.468888889	0.436666667	0.316666667	0.313333333	0.408888889	0.194444444	0.341111111	0.468888889	0.317777778	0.323333333	0.331111111	0.333333333	0.47	0.482222222	0.355555556	0.386666667	0.472222222	0.38	0.271111111	0.468888889	0.436666667	0.316666667	0.313333333	0.408888889	0.194444444	0.341111111	0.468888889	0.317777778	0.323333333	0.331111111	0.333333333	0.47	0.482222222	0.355555556	0.386666667	0.354478986	0.386498792	0.370488889
1.6 to 2.6	0.34	0.178666667	0.408	0.281333333	0.524	0.274666667	0.513333333	0.362666667	0.230666667	0.508	0.309333333	0.357333333	0.345333333	0.217333333	0.326666667	0.426666667	0.305333333	0.388	0.369333333	0.266666667	0.417333333	0.494666667	0.401333333	0.38	0.536	0.376	0.257333333	0.418666667	0.508	0.309333333	0.357333333	0.345333333	0.217333333	0.326666667	0.426666667	0.305333333	0.388	0.369333333	0.266666667	0.417333333	0.494666667	0.401333333	0.38	0.536	0.376	0.257333333	0.418666667	0.508	0.309333333	0.357333333	0.345333333	0.217333333	0.326666667	0.426666667	0.305333333	0.388	0.369333333	0.266666667	0.417333333	0.494666667	0.401333333	0.38	0.536	0.376	0.257333333	0.418666667	0.508	0.309333333	0.357333333	0.345333333	0.217333333	0.326666667	0.426666667	0.305333333	0.388	0.369333333	0.266666667	0.417333333	0.494666667	0.401333333	0.38	0.536	0.376	0.257333333	0.418666667	0.508	0.309333333	0.357333333	0.345333333	0.217333333	0.326666667	0.426666667	0.305333333	0.388	0.369333333	0.266666667	0.417333333	0.494666667	0.401333333	0.38	0.353399434	0.387240566	0.37032
1.7 to 2.7	0.295714286	0.114285714	0.384285714	0.19	0.527142857	0.275714286	0.477142857	0.261428571	0.164285714	0.532857143	0.26	0.392857143	0.257142857	0.094285714	0.337142857	0.534285714	0.185714286	0.451428571	0.32	0.282857143	0.464285714	0.38	0.442857143	0.37	0.704285714	0.361428571	0.264285714	0.57	0.532857143	0.26	0.392857143	0.257142857	0.094285714	0.337142857	0.534285714	0.185714286	0.451428571	0.32	0.282857143	0.464285714	0.38	0.442857143	0.37	0.704285714	0.361428571	0.264285714	0.57	0.532857143	0.26	0.392857143	0.257142857	0.094285714	0.337142857	0.534285714	0.185714286	0.451428571	0.32	0.282857143	0.464285714	0.38	0.442857143	0.37	0.704285714	0.361428571	0.264285714	0.57	0.532857143	0.26	0.392857143	0.257142857	0.094285714	0.337142857	0.534285714	0.185714286	0.451428571	0.32	0.282857143	0.464285714	0.38	0.442857143	0.37	0.704285714	0.361428571	0.264285714	0.57	0.532857143	0.26	0.392857143	0.257142857	0.094285714	0.337142857	0.534285714	0.185714286	0.451428571	0.32	0.282857143	0.464285714	0.38	0.442857143	0.37	0.340273132	0.396098297	0.368185714
1.8 to 2.8	0.301428571	0.114285714	0.37	0.19	0.51	0.3	0.454285714	0.28	0.184285714	0.558571429	0.254285714	0.377142857	0.254285714	0.105714286	0.337142857	0.505714286	0.171428571	0.447142857	0.351428571	0.278571429	0.407142857	0.417142857	0.447142857	0.382857143	0.731428571	0.424285714	0.202857143	0.585714286	0.558571429	0.254285714	0.377142857	0.254285714	0.105714286	0.337142857	0.505714286	0.171428571	0.447142857	0.351428571	0.278571429	0.407142857	0.417142857	0.447142857	0.382857143	0.731428571	0.424285714	0.202857143	0.585714286	0.558571429	0.254285714	0.377142857	0.254285714	0.105714286	0.337142857	0.505714286	0.171428571	0.447142857	0.351428571	0.278571429	0.407142857	0.417142857	0.447142857	0.382857143	0.731428571	0.424285714	0.202857143	0.585714286	0.558571429	0.254285714	0.377142857	0.254285714	0.105714286	0.337142857	0.505714286	0.171428571	0.447142857	0.351428571	0.278571429	0.407142857	0.417142857	0.447142857	0.382857143	0.731428571	0.424285714	0.202857143	0.585714286	0.558571429	0.254285714	0.377142857	0.254285714	0.105714286	0.337142857	0.505714286	0.171428571	0.447142857	0.351428571	0.278571429	0.407142857	0.417142857	0.447142857	0.382857143	0.340793792	0.398406208	0.3696
1.9 to 2.9	0.324615385	0.123076923	0.395384615	0.127692308	0.549230769	0.307692308	0.412307692	0.296923077	0.183076923	0.524615385	0.269230769	0.329230769	0.196923077	0.113846154	0.352307692	0.467692308	0.173846154	0.481538462	0.378461538	0.3	0.432307692	0.449230769	0.404615385	0.412307692	0.710769231	0.446153846	0.218461538	0.553846154	0.524615385	0.269230769	0.329230769	0.196923077	0.113846154	0.352307692	0.467692308	0.173846154	0.481538462	0.378461538	0.3	0.432307692	0.449230769	0.404615385	0.412307692	0.710769231	0.446153846	0.218461538	0.553846154	0.524615385	0.269230769	0.329230769	0.196923077	0.113846154	0.352307692	0.467692308	0.173846154	0.481538462	0.378461538	0.3	0.432307692	0.449230769	0.404615385	0.412307692	0.710769231	0.446153846	0.218461538	0.553846154	0.524615385	0.269230769	0.329230769	0.196923077	0.113846154	0.352307692	0.467692308	0.173846154	0.481538462	0.378461538	0.3	0.432307692	0.449230769	0.404615385	0.412307692	0.710769231	0.446153846	0.218461538	0.553846154	0.524615385	0.269230769	0.329230769	0.196923077	0.113846154	0.352307692	0.467692308	0.173846154	0.481538462	0.378461538	0.3	0.432307692	0.449230769	0.404615385	0.412307692	0.340715475	0.396638372	0.368676923
2 to 3	0.268333333	0.133333333	0.42	0.213333333	0.463333333	0.325	0.363333333	0.336666667	0.196666667	0.521666667	0.251666667	0.325	0.208333333	0.125	0.218333333	0.573333333	0.116666667	0.518333333	0.285	0.246666667	0.545	0.556666667	0.408333333	0.36	0.658333333	0.508333333	0.306666667	0.518333333	0.521666667	0.251666667	0.325	0.208333333	0.125	0.218333333	0.573333333	0.116666667	0.518333333	0.285	0.246666667	0.545	0.556666667	0.408333333	0.36	0.658333333	0.508333333	0.306666667	0.518333333	0.521666667	0.251666667	0.325	0.208333333	0.125	0.218333333	0.573333333	0.116666667	0.518333333	0.285	0.246666667	0.545	0.556666667	0.408333333	0.36	0.658333333	0.508333333	0.306666667	0.518333333	0.521666667	0.251666667	0.325	0.208333333	0.125	0.218333333	0.573333333	0.116666667	0.518333333	0.285	0.246666667	0.545	0.556666667	0.408333333	0.36	0.658333333	0.508333333	0.306666667	0.518333333	0.521666667	0.251666667	0.325	0.208333333	0.125	0.218333333	0.573333333	0.116666667	0.518333333	0.285	0.246666667	0.545	0.556666667	0.408333333	0.36	0.338496975	0.401236359	0.369866667
2.1 to 3.1	0.296363636	0.145454545	0.363636364	0.225454545	0.358181818	0.283636364	0.48	0.287272727	0.296363636	0.569090909	0.192727273	0.349090909	0.238181818	0.045454545	0.236363636	0.547272727	0.130909091	0.425454545	0.22	0.338181818	0.505454545	0.490909091	0.350909091	0.392727273	0.636363636	0.38	0.32	0.470909091	0.569090909	0.192727273	0.349090909	0.238181818	0.045454545	0.236363636	0.547272727	0.130909091	0.425454545	0.22	0.338181818	0.505454545	0.490909091	0.350909091	0.392727273	0.636363636	0.38	0.32	0.470909091	0.569090909	0.192727273	0.349090909	0.238181818	0.045454545	0.236363636	0.547272727	0.130909091	0.425454545	0.22	0.338181818	0.505454545	0.490909091	0.350909091	0.392727273	0.636363636	0.38	0.32	0.470909091	0.569090909	0.192727273	0.349090909	0.238181818	0.045454545	0.236363636	0.547272727	0.130909091	0.425454545	0.22	0.338181818	0.505454545	0.490909091	0.350909091	0.392727273	0.636363636	0.38	0.32	0.470909091	0.569090909	0.192727273	0.349090909	0.238181818	0.045454545	0.236363636	0.547272727	0.130909091	0.425454545	0.22	0.338181818	0.505454545	0.490909091	0.350909091	0.392727273	0.321617195	0.380964623	0.351290909
2.2 to 3.2	0.272727273	0.214545455	0.407272727	0.24	0.361818182	0.285454545	0.389090909	0.28	0.298181818	0.498181818	0.225454545	0.349090909	0.223636364	0.032727273	0.28	0.525454545	0.125454545	0.34	0.276363636	0.321818182	0.456363636	0.472727273	0.421818182	0.403636364	0.576363636	0.341818182	0.358181818	0.492727273	0.498181818	0.225454545	0.349090909	0.223636364	0.032727273	0.28	0.525454545	0.125454545	0.34	0.276363636	0.321818182	0.456363636	0.472727273	0.421818182	0.403636364	0.576363636	0.341818182	0.358181818	0.492727273	0.498181818	0.225454545	0.349090909	0.223636364	0.032727273	0.28	0.525454545	0.125454545	0.34	0.276363636	0.321818182	0.456363636	0.472727273	0.421818182	0.403636364	0.576363636	0.341818182	0.358181818	0.492727273	0.498181818	0.225454545	0.349090909	0.223636364	0.032727273	0.28	0.525454545	0.125454545	0.34	0.276363636	0.321818182	0.456363636	0.472727273	0.421818182	0.403636364	0.576363636	0.341818182	0.358181818	0.492727273	0.498181818	0.225454545	0.349090909	0.223636364	0.032727273	0.28	0.525454545	0.125454545	0.34	0.276363636	0.321818182	0.456363636	0.472727273	0.421818182	0.403636364	0.319562247	0.372219571	0.345890909
2.3 to 3.3	0.235	0.2725	0.51	0.255	0.275	0.2425	0.355	0.245	0.26	0.515	0.1275	0.3425	0.1975	0.04	0.365	0.55	0.1375	0.435	0.245	0.415	0.4625	0.44	0.515	0.2925	0.515	0.31	0.3375	0.4725	0.515	0.1275	0.3425	0.1975	0.04	0.365	0.55	0.1375	0.435	0.245	0.415	0.4625	0.44	0.515	0.2925	0.515	0.31	0.3375	0.4725	0.515	0.1275	0.3425	0.1975	0.04	0.365	0.55	0.1375	0.435	0.245	0.415	0.4625	0.44	0.515	0.2925	0.515	0.31	0.3375	0.4725	0.515	0.1275	0.3425	0.1975	0.04	0.365	0.55	0.1375	0.435	0.245	0.415	0.4625	0.44	0.515	0.2925	0.515	0.31	0.3375	0.4725	0.515	0.1275	0.3425	0.1975	0.04	0.365	0.55	0.1375	0.435	0.245	0.415	0.4625	0.44	0.515	0.2925	0.3174107	0.3743893	0.3459
2.4 to 3.4	0.2925	0.31	0.4475	0.335	0.27	0.255	0.29	0.2075	0.2525	0.41	0.165	0.42	0.205	0.1575	0.3625	0.505	0.1375	0.365	0.26	0.335	0.44	0.5575	0.415	0.305	0.55	0.42	0.3525	0.5075	0.41	0.165	0.42	0.205	0.1575	0.3625	0.505	0.1375	0.365	0.26	0.335	0.44	0.5575	0.415	0.305	0.55	0.42	0.3525	0.5075	0.41	0.165	0.42	0.205	0.1575	0.3625	0.505	0.1375	0.365	0.26	0.335	0.44	0.5575	0.415	0.305	0.55	0.42	0.3525	0.5075	0.41	0.165	0.42	0.205	0.1575	0.3625	0.505	0.1375	0.365	0.26	0.335	0.44	0.5575	0.415	0.305	0.55	0.42	0.3525	0.5075	0.41	0.165	0.42	0.205	0.1575	0.3625	0.505	0.1375	0.365	0.26	0.335	0.44	0.5575	0.415	0.305	0.327193471	0.376406529	0.3518
2.5 to 3.5	0.265454545	0.334545455	0.410909091	0.396363636	0.28	0.205454545	0.26	0.185454545	0.201818182	0.487272727	0.198181818	0.503636364	0.192727273	0.138181818	0.321818182	0.552727273	0.232727273	0.336363636	0.307272727	0.276363636	0.42	0.449090909	0.4	0.28	0.610909091	0.407272727	0.46	0.516363636	0.487272727	0.198181818	0.503636364	0.192727273	0.138181818	0.321818182	0.552727273	0.232727273	0.336363636	0.307272727	0.276363636	0.42	0.449090909	0.4	0.28	0.610909091	0.407272727	0.46	0.516363636	0.487272727	0.198181818	0.503636364	0.192727273	0.138181818	0.321818182	0.552727273	0.232727273	0.336363636	0.307272727	0.276363636	0.42	0.449090909	0.4	0.28	0.610909091	0.407272727	0.46	0.516363636	0.487272727	0.198181818	0.503636364	0.192727273	0.138181818	0.321818182	0.552727273	0.232727273	0.336363636	0.307272727	0.276363636	0.42	0.449090909	0.4	0.28	0.610909091	0.407272727	0.46	0.516363636	0.487272727	0.198181818	0.503636364	0.192727273	0.138181818	0.321818182	0.552727273	0.232727273	0.336363636	0.307272727	0.276363636	0.42	0.449090909	0.4	0.28	0.334522584	0.385477416	0.36
2.6 to 3.6	0.258333333	0.39	0.41	0.4	0.31	0.188333333	0.238333333	0.188333333	0.188333333	0.451666667	0.193333333	0.488333333	0.176666667	0.21	0.378333333	0.506666667	0.213333333	0.391666667	0.281666667	0.308333333	0.468333333	0.411666667	0.45	0.268333333	0.575	0.39	0.421666667	0.556666667	0.451666667	0.193333333	0.488333333	0.176666667	0.21	0.378333333	0.506666667	0.213333333	0.391666667	0.281666667	0.308333333	0.468333333	0.411666667	0.45	0.268333333	0.575	0.39	0.421666667	0.556666667	0.451666667	0.193333333	0.488333333	0.176666667	0.21	0.378333333	0.506666667	0.213333333	0.391666667	0.281666667	0.308333333	0.468333333	0.411666667	0.45	0.268333333	0.575	0.39	0.421666667	0.556666667	0.451666667	0.193333333	0.488333333	0.176666667	0.21	0.378333333	0.506666667	0.213333333	0.391666667	0.281666667	0.308333333	0.468333333	0.411666667	0.45	0.268333333	0.575	0.39	0.421666667	0.556666667	0.451666667	0.193333333	0.488333333	0.176666667	0.21	0.378333333	0.506666667	0.213333333	0.391666667	0.281666667	0.308333333	0.468333333	0.411666667	0.45	0.268333333	0.339415208	0.387318125	0.363366667
2.7 to 3.7	0.181818182	0.429090909	0.332727273	0.452727273	0.461818182	0.221818182	0.254545455	0.167272727	0.212727273	0.490909091	0.229090909	0.449090909	0.263636364	0.338181818	0.32	0.416363636	0.276363636	0.389090909	0.32	0.252727273	0.34	0.409090909	0.414545455	0.334545455	0.454545455	0.407272727	0.501818182	0.461818182	0.490909091	0.229090909	0.449090909	0.263636364	0.338181818	0.32	0.416363636	0.276363636	0.389090909	0.32	0.252727273	0.34	0.409090909	0.414545455	0.334545455	0.454545455	0.407272727	0.501818182	0.461818182	0.490909091	0.229090909	0.449090909	0.263636364	0.338181818	0.32	0.416363636	0.276363636	0.389090909	0.32	0.252727273	0.34	0.409090909	0.414545455	0.334545455	0.454545455	0.407272727	0.501818182	0.461818182	0.490909091	0.229090909	0.449090909	0.263636364	0.338181818	0.32	0.416363636	0.276363636	0.389090909	0.32	0.252727273	0.34	0.409090909	0.414545455	0.334545455	0.454545455	0.407272727	0.501818182	0.461818182	0.490909091	0.229090909	0.449090909	0.263636364	0.338181818	0.32	0.416363636	0.276363636	0.389090909	0.32	0.252727273	0.34	0.409090909	0.414545455	0.334545455	0.345283543	0.379407366	0.362345455
2.8 to 3.8	0.172727273	0.343636364	0.374545455	0.54	0.541818182	0.232727273	0.281818182	0.156363636	0.187272727	0.449090909	0.229090909	0.430909091	0.24	0.332727273	0.330909091	0.498181818	0.3	0.390909091	0.309090909	0.343636364	0.345454545	0.343636364	0.481818182	0.329090909	0.445454545	0.343636364	0.525454545	0.450909091	0.449090909	0.229090909	0.430909091	0.24	0.332727273	0.330909091	0.498181818	0.3	0.390909091	0.309090909	0.343636364	0.345454545	0.343636364	0.481818182	0.329090909	0.445454545	0.343636364	0.525454545	0.450909091	0.449090909	0.229090909	0.430909091	0.24	0.332727273	0.330909091	0.498181818	0.3	0.390909091	0.309090909	0.343636364	0.345454545	0.343636364	0.481818182	0.329090909	0.445454545	0.343636364	0.525454545	0.450909091	0.449090909	0.229090909	0.430909091	0.24	0.332727273	0.330909091	0.498181818	0.3	0.390909091	0.309090909	0.343636364	0.345454545	0.343636364	0.481818182	0.329090909	0.445454545	0.343636364	0.525454545	0.450909091	0.449090909	0.229090909	0.430909091	0.24	0.332727273	0.330909091	0.498181818	0.3	0.390909091	0.309090909	0.343636364	0.345454545	0.343636364	0.481818182	0.329090909	0.348735312	0.384573779	0.366654545
2.9 to 3.9	0.169230769	0.378461538	0.349230769	0.610769231	0.572307692	0.290769231	0.332307692	0.212307692	0.238461538	0.426153846	0.213846154	0.472307692	0.303076923	0.292307692	0.3	0.498461538	0.287692308	0.341538462	0.28	0.329230769	0.378461538	0.389230769	0.481538462	0.366153846	0.395384615	0.310769231	0.481538462	0.390769231	0.426153846	0.213846154	0.472307692	0.303076923	0.292307692	0.3	0.498461538	0.287692308	0.341538462	0.28	0.329230769	0.378461538	0.389230769	0.481538462	0.366153846	0.395384615	0.310769231	0.481538462	0.390769231	0.426153846	0.213846154	0.472307692	0.303076923	0.292307692	0.3	0.498461538	0.287692308	0.341538462	0.28	0.329230769	0.378461538	0.389230769	0.481538462	0.366153846	0.395384615	0.310769231	0.481538462	0.390769231	0.426153846	0.213846154	0.472307692	0.303076923	0.292307692	0.3	0.498461538	0.287692308	0.341538462	0.28	0.329230769	0.378461538	0.389230769	0.481538462	0.366153846	0.395384615	0.310769231	0.481538462	0.390769231	0.426153846	0.213846154	0.472307692	0.303076923	0.292307692	0.3	0.498461538	0.287692308	0.341538462	0.28	0.329230769	0.378461538	0.389230769	0.481538462	0.366153846	0.345370428	0.379983419	0.362676923
3 to 4	0.157142857	0.44	0.274285714	0.524285714	0.58	0.31	0.392857143	0.27	0.237142857	0.395714286	0.198571429	0.551428571	0.378571429	0.291428571	0.305714286	0.42	0.347142857	0.347142857	0.298571429	0.328571429	0.288571429	0.327142857	0.491428571	0.398571429	0.397142857	0.334285714	0.447142857	0.361428571	0.395714286	0.198571429	0.551428571	0.378571429	0.291428571	0.305714286	0.42	0.347142857	0.347142857	0.298571429	0.328571429	0.288571429	0.327142857	0.491428571	0.398571429	0.397142857	0.334285714	0.447142857	0.361428571	0.395714286	0.198571429	0.551428571	0.378571429	0.291428571	0.305714286	0.42	0.347142857	0.347142857	0.298571429	0.328571429	0.288571429	0.327142857	0.491428571	0.398571429	0.397142857	0.334285714	0.447142857	0.361428571	0.395714286	0.198571429	0.551428571	0.378571429	0.291428571	0.305714286	0.42	0.347142857	0.347142857	0.298571429	0.328571429	0.288571429	0.327142857	0.491428571	0.398571429	0.397142857	0.334285714	0.447142857	0.361428571	0.395714286	0.198571429	0.551428571	0.378571429	0.291428571	0.305714286	0.42	0.347142857	0.347142857	0.298571429	0.328571429	0.288571429	0.327142857	0.491428571	0.398571429	0.344925599	0.37884583	0.361885714
3.1 to 4.1	0.152	0.544	0.373333333	0.530666667	0.568	0.285333333	0.321333333	0.321333333	0.176	0.337333333	0.197333333	0.574666667	0.432	0.306666667	0.244	0.408	0.364	0.353333333	0.32	0.325333333	0.286666667	0.330666667	0.524	0.336	0.397333333	0.346666667	0.492	0.365333333	0.337333333	0.197333333	0.574666667	0.432	0.306666667	0.244	0.408	0.364	0.353333333	0.32	0.325333333	0.286666667	0.330666667	0.524	0.336	0.397333333	0.346666667	0.492	0.365333333	0.337333333	0.197333333	0.574666667	0.432	0.306666667	0.244	0.408	0.364	0.353333333	0.32	0.325333333	0.286666667	0.330666667	0.524	0.336	0.397333333	0.346666667	0.492	0.365333333	0.337333333	0.197333333	0.574666667	0.432	0.306666667	0.244	0.408	0.364	0.353333333	0.32	0.325333333	0.286666667	0.330666667	0.524	0.336	0.397333333	0.346666667	0.492	0.365333333	0.337333333	0.197333333	0.574666667	0.432	0.306666667	0.244	0.408	0.364	0.353333333	0.32	0.325333333	0.286666667	0.330666667	0.524	0.336	0.344501899	0.383044768	0.363773333
3.2 to 4.2	0.204	0.485333333	0.353333333	0.514666667	0.58	0.290666667	0.341333333	0.376	0.177333333	0.344	0.222666667	0.596	0.445333333	0.325333333	0.213333333	0.404	0.386666667	0.36	0.276	0.345333333	0.312	0.341333333	0.486666667	0.349333333	0.398666667	0.354666667	0.508	0.394666667	0.344	0.222666667	0.596	0.445333333	0.325333333	0.213333333	0.404	0.386666667	0.36	0.276	0.345333333	0.312	0.341333333	0.486666667	0.349333333	0.398666667	0.354666667	0.508	0.394666667	0.344	0.222666667	0.596	0.445333333	0.325333333	0.213333333	0.404	0.386666667	0.36	0.276	0.345333333	0.312	0.341333333	0.486666667	0.349333333	0.398666667	0.354666667	0.508	0.394666667	0.344	0.222666667	0.596	0.445333333	0.325333333	0.213333333	0.404	0.386666667	0.36	0.276	0.345333333	0.312	0.341333333	0.486666667	0.349333333	0.398666667	0.354666667	0.508	0.394666667	0.344	0.222666667	0.596	0.445333333	0.325333333	0.213333333	0.404	0.386666667	0.36	0.276	0.345333333	0.312	0.341333333	0.486666667	0.349333333	0.350867649	0.388865684	0.369866667
3.3 to 4.3	0.190588235	0.442352941	0.342352941	0.531764706	0.522352941	0.36	0.331764706	0.362352941	0.170588235	0.318823529	0.214117647	0.567058824	0.431764706	0.304705882	0.215294118	0.381176471	0.414117647	0.341176471	0.257647059	0.347058824	0.311764706	0.324705882	0.488235294	0.310588235	0.396470588	0.376470588	0.508235294	0.355294118	0.318823529	0.214117647	0.567058824	0.431764706	0.304705882	0.215294118	0.381176471	0.414117647	0.341176471	0.257647059	0.347058824	0.311764706	0.324705882	0.488235294	0.310588235	0.396470588	0.376470588	0.508235294	0.355294118	0.318823529	0.214117647	0.567058824	0.431764706	0.304705882	0.215294118	0.381176471	0.414117647	0.341176471	0.257647059	0.347058824	0.311764706	0.324705882	0.488235294	0.310588235	0.396470588	0.376470588	0.508235294	0.355294118	0.318823529	0.214117647	0.567058824	0.431764706	0.304705882	0.215294118	0.381176471	0.414117647	0.341176471	0.257647059	0.347058824	0.311764706	0.324705882	0.488235294	0.310588235	0.396470588	0.376470588	0.508235294	0.355294118	0.318823529	0.214117647	0.567058824	0.431764706	0.304705882	0.215294118	0.381176471	0.414117647	0.341176471	0.257647059	0.347058824	0.311764706	0.324705882	0.488235294	0.310588235	0.340684787	0.378138742	0.359411765
3.4 to 4.4	0.16875	0.45125	0.36375	0.525	0.52125	0.37375	0.3525	0.3525	0.18125	0.32875	0.2025	0.54	0.43875	0.26125	0.22375	0.38625	0.43625	0.335	0.26	0.3525	0.32125	0.2825	0.50625	0.3175	0.4025	0.3375	0.525	0.315	0.32875	0.2025	0.54	0.43875	0.26125	0.22375	0.38625	0.43625	0.335	0.26	0.3525	0.32125	0.2825	0.50625	0.3175	0.4025	0.3375	0.525	0.315	0.32875	0.2025	0.54	0.43875	0.26125	0.22375	0.38625	0.43625	0.335	0.26	0.3525	0.32125	0.2825	0.50625	0.3175	0.4025	0.3375	0.525	0.315	0.32875	0.2025	0.54	0.43875	0.26125	0.22375	0.38625	0.43625	0.335	0.26	0.3525	0.32125	0.2825	0.50625	0.3175	0.4025	0.3375	0.525	0.315	0.32875	0.2025	0.54	0.43875	0.26125	0.22375	0.38625	0.43625	0.335	0.26	0.3525	0.32125	0.2825	0.50625	0.3175	0.336208624	0.375241376	0.355725
3.5 to 4.5	0.18	0.43	0.35	0.528571429	0.575714286	0.482857143	0.372857143	0.402857143	0.198571429	0.262857143	0.174285714	0.472857143	0.502857143	0.351428571	0.232857143	0.308571429	0.417142857	0.35	0.275714286	0.41	0.29	0.297142857	0.525714286	0.341428571	0.302857143	0.327142857	0.44	0.245714286	0.262857143	0.174285714	0.472857143	0.502857143	0.351428571	0.232857143	0.308571429	0.417142857	0.35	0.275714286	0.41	0.29	0.297142857	0.525714286	0.341428571	0.302857143	0.327142857	0.44	0.245714286	0.262857143	0.174285714	0.472857143	0.502857143	0.351428571	0.232857143	0.308571429	0.417142857	0.35	0.275714286	0.41	0.29	0.297142857	0.525714286	0.341428571	0.302857143	0.327142857	0.44	0.245714286	0.262857143	0.174285714	0.472857143	0.502857143	0.351428571	0.232857143	0.308571429	0.417142857	0.35	0.275714286	0.41	0.29	0.297142857	0.525714286	0.341428571	0.302857143	0.327142857	0.44	0.245714286	0.262857143	0.174285714	0.472857143	0.502857143	0.351428571	0.232857143	0.308571429	0.417142857	0.35	0.275714286	0.41	0.29	0.297142857	0.525714286	0.341428571	0.328891834	0.368079595	0.348485714
3.6 to 4.6	0.226666667	0.406666667	0.372	0.584	0.533333333	0.457333333	0.417333333	0.377333333	0.250666667	0.317333333	0.222666667	0.469333333	0.566666667	0.268	0.157333333	0.313333333	0.522666667	0.270666667	0.288	0.417333333	0.222666667	0.297333333	0.456	0.358666667	0.305333333	0.314666667	0.42	0.185333333	0.317333333	0.222666667	0.469333333	0.566666667	0.268	0.157333333	0.313333333	0.522666667	0.270666667	0.288	0.417333333	0.222666667	0.297333333	0.456	0.358666667	0.305333333	0.314666667	0.42	0.185333333	0.317333333	0.222666667	0.469333333	0.566666667	0.268	0.157333333	0.313333333	0.522666667	0.270666667	0.288	0.417333333	0.222666667	0.297333333	0.456	0.358666667	0.305333333	0.314666667	0.42	0.185333333	0.317333333	0.222666667	0.469333333	0.566666667	0.268	0.157333333	0.313333333	0.522666667	0.270666667	0.288	0.417333333	0.222666667	0.297333333	0.456	0.358666667	0.305333333	0.314666667	0.42	0.185333333	0.317333333	0.222666667	0.469333333	0.566666667	0.268	0.157333333	0.313333333	0.522666667	0.270666667	0.288	0.417333333	0.222666667	0.297333333	0.456	0.358666667	0.320265768	0.365067565	0.342666667
3.7 to 4.7	0.249333333	0.412	0.406666667	0.62	0.498666667	0.457333333	0.352	0.424	0.252	0.368	0.246666667	0.438666667	0.565333333	0.237333333	0.236	0.293333333	0.477333333	0.212	0.350666667	0.470666667	0.250666667	0.296	0.492	0.366666667	0.28	0.308	0.364	0.182666667	0.368	0.246666667	0.438666667	0.565333333	0.237333333	0.236	0.293333333	0.477333333	0.212	0.350666667	0.470666667	0.250666667	0.296	0.492	0.366666667	0.28	0.308	0.364	0.182666667	0.368	0.246666667	0.438666667	0.565333333	0.237333333	0.236	0.293333333	0.477333333	0.212	0.350666667	0.470666667	0.250666667	0.296	0.492	0.366666667	0.28	0.308	0.364	0.182666667	0.368	0.246666667	0.438666667	0.565333333	0.237333333	0.236	0.293333333	0.477333333	0.212	0.350666667	0.470666667	0.250666667	0.296	0.492	0.366666667	0.28	0.308	0.364	0.182666667	0.368	0.246666667	0.438666667	0.565333333	0.237333333	0.236	0.293333333	0.477333333	0.212	0.350666667	0.470666667	0.250666667	0.296	0.492	0.366666667	0.325664286	0.368682381	0.347173333
