1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
4.6 to 5.6	30	48	56	53	68	67	62	56	57	57	69	56	82	71	27	57	38	91	46	64	26	30	48	56	53	68	67	62	56	57	57	69	56	82	71	27	57	38	91	46	64	26	30	48	56	53	68	67	62	56	57	57	69	56	82	71	27	57	38	91	46	64	26	30	48	56	53	68	67	62	56	57	57	69	56	82	71	27	57	38	91	46	64	26	30	48	56	53	68	67	62	56	57	57	69	56	82	71	27	57
4.7 to 5.7	30	52	74	62	78	72	62	67	57	60	98	66	82	76	27	57	38	91	46	64	38	30	52	74	62	78	72	62	67	57	60	98	66	82	76	27	57	38	91	46	64	38	30	52	74	62	78	72	62	67	57	60	98	66	82	76	27	57	38	91	46	64	38	30	52	74	62	78	72	62	67	57	60	98	66	82	76	27	57	38	91	46	64	38	30	52	74	62	78	72	62	67	57	60	98	66	82	76	27	57
4.8 to 5.8	30	52	73	53	67	70	57	54	54	55	75	59	80	69	25	53	26	67	45	64	36	30	52	73	53	67	70	57	54	54	55	75	59	80	69	25	53	26	67	45	64	36	30	52	73	53	67	70	57	54	54	55	75	59	80	69	25	53	26	67	45	64	36	30	52	73	53	67	70	57	54	54	55	75	59	80	69	25	53	26	67	45	64	36	30	52	73	53	67	70	57	54	54	55	75	59	80	69	25	53
4.9 to 5.9	80	92	118	108	103	133	94	115	81	105	116	105	121	80	71	92	37	74	95	105	76	80	92	118	108	103	133	94	115	81	105	116	105	121	80	71	92	37	74	95	105	76	80	92	118	108	103	133	94	115	81	105	116	105	121	80	71	92	37	74	95	105	76	80	92	118	108	103	133	94	115	81	105	116	105	121	80	71	92	37	74	95	105	76	80	92	118	108	103	133	94	115	81	105	116	105	121	80	71	92
5 to 6	115	129	145	116	122	144	98	118	83	146	135	108	156	86	77	94	60	96	120	132	93	115	129	145	116	122	144	98	118	83	146	135	108	156	86	77	94	60	96	120	132	93	115	129	145	116	122	144	98	118	83	146	135	108	156	86	77	94	60	96	120	132	93	115	129	145	116	122	144	98	118	83	146	135	108	156	86	77	94	60	96	120	132	93	115	129	145	116	122	144	98	118	83	146	135	108	156	86	77	94
5.1 to 6.1	122	149	134	129	113	146	95	120	100	132	131	123	151	69	79	75	56	92	125	132	93	122	149	134	129	113	146	95	120	100	132	131	123	151	69	79	75	56	92	125	132	93	122	149	134	129	113	146	95	120	100	132	131	123	151	69	79	75	56	92	125	132	93	122	149	134	129	113	146	95	120	100	132	131	123	151	69	79	75	56	92	125	132	93	122	149	134	129	113	146	95	120	100	132	131	123	151	69	79	75
5.2 to 6.2	122	149	134	129	113	146	95	120	100	132	131	123	151	69	79	75	56	92	125	132	93	122	149	134	129	113	146	95	120	100	132	131	123	151	69	79	75	56	92	125	132	93	122	149	134	129	113	146	95	120	100	132	131	123	151	69	79	75	56	92	125	132	93	122	149	134	129	113	146	95	120	100	132	131	123	151	69	79	75	56	92	125	132	93	122	149	134	129	113	146	95	120	100	132	131	123	151	69	79	75
5.3 to 6.3	117	141	118	129	93	126	73	107	78	108	131	108	148	67	79	75	45	70	115	106	93	117	141	118	129	93	126	73	107	78	108	131	108	148	67	79	75	45	70	115	106	93	117	141	118	129	93	126	73	107	78	108	131	108	148	67	79	75	45	70	115	106	93	117	141	118	129	93	126	73	107	78	108	131	108	148	67	79	75	45	70	115	106	93	117	141	118	129	93	126	73	107	78	108	131	108	148	67	79	75
5.4 to 6.4	108	136	110	109	68	126	42	90	78	96	124	108	115	55	75	63	45	56	99	81	76	108	136	110	109	68	126	42	90	78	96	124	108	115	55	75	63	45	56	99	81	76	108	136	110	109	68	126	42	90	78	96	124	108	115	55	75	63	45	56	99	81	76	108	136	110	109	68	126	42	90	78	96	124	108	115	55	75	63	45	56	99	81	76	108	136	110	109	68	126	42	90	78	96	124	108	115	55	75	63
5.5 to 6.5	108	136	110	109	68	126	42	90	78	96	124	108	115	55	75	63	45	56	99	81	76	108	136	110	109	68	126	42	90	78	96	124	108	115	55	75	63	45	56	99	81	76	108	136	110	109	68	126	42	90	78	96	124	108	115	55	75	63	45	56	99	81	76	108	136	110	109	68	126	42	90	78	96	124	108	115	55	75	63	45	56	99	81	76	108	136	110	109	68	126	42	90	78	96	124	108	115	55	75	63
