,model,lnL,AIC,AICc,timing,tree.no,delta,w
1443,OUMVA,59.77497708,-105.5499542,-104.7556279,OUMVA 12.4711000738879,85,18.8052911,5.74442119093219e-05
1444,JN,59.5173841090935,-113.034768218187,-112.869250976808,NA,85,10.691668023192,0.00331968702393524
1445,NIG,61.3807331088578,-116.761466217716,-116.595948976336,NA,85,6.96497002366399,0.0213963320616646
1446,BM,59.0484089,-112.0968178,-111.9313006,BM85,86,7.4692885,0.0143923340165205
1447,EB,60.77124991,-113.5424998,-113.264722,EB85,86,6.1358671,0.0280336732831092
1448,OU,59.0484089,-110.0968178,-109.81904,OU85,86,9.5815491,0.00500564064144335
1449,kappa,59.48334928,-110.9666986,-110.6889208,kappa85,86,8.7116683,0.00773306897276987
1450,delta,59.71151827,-111.4230365,-111.1452588,delta85,86,8.25533030000001,0.00971503615963557
1451,lambda,59.04840888,-110.0968178,-109.81904,lambda85,86,9.5815491,0.00500564064144335
1452,DensDep,58.62185135,-113.2437027,-113.1615109,DensDep85,86,6.23907820000001,0.0266236749289463
1453,TS,59.56417068,-113.1283414,-112.9616747,TS 731,86,6.4389144,0.0240920703410996
1454,TRC,62.84942529,-117.6988506,-117.4191303,TRC 632,86,1.9814588,0.223768168725067
1455,SRC,62.78362788,-119.5672558,-119.4005891,SRC 640,86,0,0.602652023599572
1456,BMS,61.25888272,-112.5177654,-112.098185,BMS 17.5356280609823,86,7.3024041,0.015644789227965
1457,OUS,60.02806279,-110.0561256,-109.6365452,OUS 17.0849627753444,86,9.7640439,0.0045691080228684
1458,OUMA,60.06066377,-108.1213275,-107.5297782,OUMA 16.7723085352169,86,11.8708109,0.00159350262925959
1459,OUMV,61.20454597,-110.4090919,-109.8175427,OUMV 17.084951171706,86,9.5830464,0.00500189457099992
1460,OUMVA,61.00392014,-108.0078403,-107.213514,OUMVA 17.0849530535381,86,12.1870751,0.00136043214760224
1461,JN,58.8875673970617,-111.775134794123,-111.609617552744,NA,86,7.79097154725601,0.0122540216520132
1462,NIG,58.9118258714721,-111.823651742944,-111.658134501565,NA,86,7.742454598435,0.0125549204396839
1463,BM,58.904104,-111.808208,-111.6426908,BM86,87,11.9178306,0.00128648492637836
1464,EB,61.54091749,-115.081835,-114.8040572,EB86,87,8.7564642,0.0062500960767073
1465,OU,58.904104,-109.808208,-109.5304302,OU86,87,14.0300912,0.000447438283789956
1466,kappa,59.19203203,-110.3840641,-110.1062863,kappa86,87,13.4542351,0.000596731142798943
1467,delta,59.82603476,-111.6520695,-111.3742917,delta86,87,12.1862297,0.00112492243420191
