group,model,lnL,AIC,AICc,timing,tree.no,delta,w
agamidae,OUMA,69.11517565,-126.2303513,-125.3173078,NAMA 36.3433849880099,22,14.5990534,0.000646221
agamidae,OUMV,66.99021793,-121.9804359,-121.0673924,NAMV 36.3433849623022,22,18.8489688,7.72E-05
agamidae,OUMVA,69.12083429,-124.2416686,-123.0108994,NAMVA 36.3433851538039,22,16.9054618,0.000203963
agamidae,DensDep,58.43131379,-112.8626276,-112.7376276,NA,22,27.17873362,1.20E-06
agamidae,fit_env,58.69877014,-111.3975403,-111.1449087,NA,22,28.7714525,5.41E-07
agamidae,EB,68.42460293,-128.8492059,-128.4236739,NA22,23,9.3642262,0.009073099
agamidae,delta,65.71810217,-123.4362043,-123.0106724,NA22,23,14.7772277,0.000605811
agamidae,TS,58.8569479,-111.7138958,-111.4585767,322,23,26.3293234,1.88E-06
agamidae,TRC,73.10900383,-138.2180077,-137.7879001,9,23,0,0.97987693
agamidae,SRC,67.20660827,-128.4132165,-128.1578974,101,23,9.6300027,0.007944069
agamidae,OUS,59.52974131,-109.0594826,-108.4143213,NAS 37.8985844694933,23,29.3735788,4.10E-07
agamidae,OUMA,69.11817274,-126.2363455,-125.323302,NAMA 36.1919004971614,23,12.4645981,0.001925389
agamidae,OUMV,58.43147954,-104.8629591,-103.9499156,NAMV 52.5721338503734,23,33.8379845,4.40E-08
agamidae,OUMVA,69.06280102,-124.125602,-122.8948328,NAMVA 36.1919778589442,23,14.8930673,0.00057172
agamidae,DensDep,56.04046374,-108.0809275,-107.9559275,NA,23,29.83197263,3.26E-07
agamidae,fit_env,57.09602679,-108.1920536,-107.939422,NA,23,29.8484781,3.23E-07
agamidae,EB,70.70839956,-133.4167991,-132.9912672,NA23,24,9.843104,0.007057759
agamidae,delta,67.26849741,-126.5369948,-126.1114629,NA23,24,16.7229083,0.000226327
agamidae,TS,60.54946146,-115.0989229,-114.8436038,323,24,27.9907674,8.09E-07
agamidae,TRC,75.63223937,-143.2644787,-142.8343712,103,24,0,0.968433221
agamidae,SRC,69.48419234,-132.9683847,-132.7130655,1115,24,10.1213057,0.00614124
agamidae,OUS,59.17716206,-108.3543241,-107.7091628,NAS 35.704920557943,24,35.1252084,2.28E-08
agamidae,OUMA,73.62747961,-135.2549592,-134.3419157,NAMA 35.0336760047623,24,8.4924555,0.013866166
agamidae,OUMV,68.95669726,-125.9133945,-125.000351,NAMV 49.4003401140241,24,17.8340202,0.000129856
agamidae,OUMVA,73.57865652,-133.157313,-131.9265438,NAMVA 35.0336886594005,24,10.9078274,0.004144432
agamidae,DensDep,57.27583576,-110.5516715,-110.4266715,NA,24,32.40769969,8.89E-08
agamidae,fit_env,58.21246847,-110.4249369,-110.1723054,NA,24,32.66206584,7.83E-08
agamidae,EB,69.01193887,-130.0238777,-129.5983458,NA24,25,8.3983303,0.0108485
agamidae,delta,66.47430688,-124.9486138,-124.5230818,NA24,25,13.4735943,0.000857611
agamidae,TS,60.69749206,-115.3949841,-115.139665,324,25,22.8570111,7.87E-06
agamidae,TRC,73.21339183,-138.4267837,-137.9966761,76,25,0,0.722842976
agamidae,SRC,69.16573385,-132.3314677,-132.0761485,81,25,5.9205276,0.03744706
agamidae,OUS,64.12862615,-118.2572523,-117.612091,NAS 42.8654989527488,25,20.3845851,2.71E-05
agamidae,OUMA,74.02889674,-136.0577935,-135.14475,NAMA 42.4586853058446,25,2.8519261,0.173682508
agamidae,OUMV,64.81600536,-117.6320107,-116.7189673,NAMV 55.7989150730018,25,21.2777088,1.73E-05
agamidae,OUMVA,74.02416934,-134.0483387,-132.8175694,NAMVA 42.458684346725,25,5.1791067,0.054251935
agamidae,DensDep,60.18585721,-116.3717144,-116.2467144,NA,25,21.74996169,1.37E-05
agamidae,fit_env,59.87595016,-113.7519003,-113.4992687,NA,25,24.49740736,3.46E-06
agamidae,EB,66.19833339,-124.3966668,-123.9711349,NA25,26,5407.694382,0
agamidae,delta,63.11229564,-118.2245913,-117.7990594,NA25,26,5413.866458,0
agamidae,TS,42.9160272,-79.83205441,-79.57673526,325,26,5452.088782,0
agamidae,TRC,68.69703863,-129.3940773,-128.9639697,89,26,5402.701547,0
agamidae,SRC,57.66693097,-109.3338619,-109.0785428,102,26,5422.586974,0
