,model,lnL,AIC,AICc,timing,tree.no,delta,w
142,lambda,213.9195711,-419.8391422,-419.6217509,NA8,9,10.4468972,0.00142673270303055
143,ts ,216.8244574,-427.6489148,-427.51848,NA 10,9,2.55016810000001,0.0739768019596687
144,trc ,217.9407054,-427.8814108,-427.6628316,NA 105,9,2.40581650000001,0.0795135428148985
145,src ,217.8360867,-429.6721735,-429.5417387,NA 103,9,0.526909400000022,0.203441990855569
146,bms ,218.1056562,-426.2113125,-425.8834436,10.25907899,9,4.1852045,0.0326626870318443
147,ous ,215.7107556,-421.4215112,-421.0936424,58.81545584,9,8.9750057,0.00297824069991666
148,ouma ,215.1679185,-418.335837,-417.8742986,36.66575521,9,12.1943495,0.00059550878202956
149,oumv ,220.2409058,-428.4818117,-428.0202732,47.31080995,9,2.0483749,0.0950732984780133
150,oumva ,220.2456715,-426.491343,-425.8725585,a 47.3215812143215,9,4.19608959999999,0.0324854016045596
151,DensDep,215.296008096764,-426.592016193528,-426.527500064496,NA,9,3.54114803550402,0.0450720170434982
152,JN,211.065645569962,-416.131291139925,-416.001561410195,NA,9,14.067086689805,0.000233468587956142
153,NIG,167.395532723089,-328.791065446177,-328.661335716447,NA,9,101.407312383553,2.52661705388987e-23
154,BM,214.9050163,-423.8100326,-423.6803029,NA9,10,9.84129100000001,0.00303331042529241
155,EB,220.8694926,-433.7389853,-433.5215939,NA9,10,0,0.415839792841704
156,OU,214.9050163,-421.8100326,-421.5926413,NA9,10,11.9289526,0.00106803848306879
157,kappa,214.6632303,-421.3264607,-421.1090694,NA9,10,12.4125245,0.0008386497027541
