,model,lnL,AIC,AICc,timing,tree.no,delta,w
1466,BM,69.6682764,-133.3365528,-133.0839212,NA91,92,9.1720968,0.009164407
1467,EB,71.31941156,-134.6388231,-134.2132912,NA91,92,8.0427268,0.016119216
1468,OU,69.6682764,-131.3365528,-130.9110209,NA91,92,11.3449971,0.003092182
1469,kappa,71.16198626,-134.3239725,-133.8984406,NA91,92,8.3575774,0.013771302
1470,delta,69.9803837,-131.9607674,-131.5352355,NA91,92,10.7207825,0.004224852
1471,lambda,69.6682764,-131.3365528,-130.9110209,91,92,11.3449971,0.003092182
1472,TS,56.58931105,-107.1786221,-106.9233029,391,92,35.3327151,1.91E-08
1473,TRC,75.34306278,-142.6861256,-142.256018,65,92,0,0.899083158
1474,SRC,65.31365625,-124.6273125,-124.3719933,61,92,17.8840247,0.00011758
1475,BMS,73.587587,-137.175174,-136.5300127,NAS 39.8189028246844,92,5.7260053,0.051335005
1476,OUS,57.86657815,-105.7331563,-105.087995,NAS 54.3351324890914,92,37.168023,7.64E-09
1477,OUMA,59.07162388,-106.1432478,-105.2302043,NAMA 53.0879152284438,92,37.0258137,8.20E-09
1478,OUMV,60.89445724,-109.7889145,-108.875871,NAMV 52.1693752599258,92,33.380147,5.07E-08
1479,OUMVA,60.36972191,-106.7394438,-105.5086746,NAMVA 54.0464371029401,92,36.7473434,9.42E-09
1480,DensDep,55.59256944,-107.1851389,-107.0601389,NA,92,35.1958791,2.05E-08
